2024-12-25 12:34:16,981 - ERROR - Starting the PLC data reader script.
2024-12-25 12:34:17,034 - ERROR - Generic message '_read_template(instance_id=4089, object_definition_size=7215)' failed: Insufficient Packet Space
2024-12-25 12:34:17,039 - ERROR - Generic message '_read_template(instance_id=4089, object_definition_size=7215)' failed: Insufficient Packet Space
2024-12-25 12:34:17,043 - ERROR - Generic message '_read_template(instance_id=4089, object_definition_size=7215)' failed: Insufficient Packet Space
2024-12-25 12:34:17,045 - ERROR - Generic message '_read_template(instance_id=4089, object_definition_size=7215)' failed: Insufficient Packet Space
2024-12-25 12:34:17,047 - ERROR - Generic message '_read_template(instance_id=4089, object_definition_size=7215)' failed: Insufficient Packet Space
2024-12-25 12:34:17,050 - ERROR - Generic message '_read_template(instance_id=4089, object_definition_size=7215)' failed: Insufficient Packet Space
2024-12-25 12:34:17,052 - ERROR - Generic message '_read_template(instance_id=4089, object_definition_size=7215)' failed: Insufficient Packet Space
2024-12-25 12:34:17,054 - ERROR - Generic message '_read_template(instance_id=4089, object_definition_size=7215)' failed: Insufficient Packet Space
2024-12-25 12:34:17,055 - ERROR - Generic message '_read_template(instance_id=4089, object_definition_size=7215)' failed: Insufficient Packet Space
2024-12-25 12:34:17,058 - ERROR - Generic message '_read_template(instance_id=4089, object_definition_size=7215)' failed: Insufficient Packet Space
2024-12-25 12:34:17,059 - ERROR - Generic message '_read_template(instance_id=4089, object_definition_size=7215)' failed: Insufficient Packet Space
2024-12-25 12:34:17,062 - ERROR - Generic message '_read_template(instance_id=4089, object_definition_size=7215)' failed: Insufficient Packet Space
2024-12-25 12:34:17,069 - ERROR - Generic message '_read_template(instance_id=4089, object_definition_size=7215)' failed: Insufficient Packet Space
2024-12-25 12:34:17,074 - ERROR - Generic message '_read_template(instance_id=4089, object_definition_size=7215)' failed: Insufficient Packet Space
2024-12-25 12:34:17,165 - ERROR - Generic message 'forward_open' failed: Connection failure (see extended status) - No buffer memory  (01, 301)
2024-12-25 12:34:17,165 - ERROR - forward_open failed - Connection failure (see extended status) - No buffer memory  (01, 301)
